id,name,artist,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres
1TZO2mDQN2RzcsSIAITAas,Big Picture,London Grammar,281773,False,0,0.56,0.643,0,-8.283,1,0.032,0.402,0.0262,0.0652,0.123,113.033,4,"metropopolis,nottingham indie"
3ActvlxYR8Jrqe7rxDHm7q,Oh Woman Oh Man,London Grammar,277613,False,0,0.413,0.519,8,-6.52,1,0.0293,0.702,6.62e-06,0.12,0.265,79.948,4,"metropopolis,nottingham indie"
6xIepwk6xBuP3itGqQE8AT,Truth Is A Beautiful Thing,London Grammar,307786,False,0,0.404,0.148,7,-12.462,0,0.0338,0.952,0.067,0.139,0.0384,67.771,4,"metropopolis,nottingham indie"
6PmAEETtVYKlFy26KKpXXZ,Wasting My Young Years,London Grammar,204266,False,0,0.53,0.286,5,-11.382,0,0.0387,0.854,0.000887,0.0962,0.11,126.72,4,"metropopolis,nottingham indie"
72wmXZCWjyJuAFcKCf4xur,Hell To The Liars,London Grammar,364506,False,0,0.296,0.613,2,-7.237,0,0.0364,0.692,0.013,0.0893,0.102,146.139,4,"metropopolis,nottingham indie"
2nAAFnHiXRdWhsqoeqhhnr,Rooting For You,London Grammar,269613,False,0,0.251,0.254,2,-7.552,1,0.0369,0.913,1.81e-06,0.088,0.17,176.602,3,"metropopolis,nottingham indie"
0vhmDFxgZQGq2EG3SvDMKG,Hey Now,London Grammar,205560,False,0,0.639,0.256,5,-13.28,1,0.0351,0.411,0.0766,0.107,0.0395,120.036,4,"metropopolis,nottingham indie"
7LA5YZPyUAxk8ZrmPas1yV,Strong,London Grammar,275440,False,0,0.581,0.402,10,-11.637,1,0.0329,0.728,2.48e-05,0.076,0.261,75.991,4,"metropopolis,nottingham indie"
1UpFb9izAOYlcxWTOQzGf6,More Like You,Orla Gartland,219720,False,60,0.883,0.431,2,-10.128,1,0.0434,0.591,0.00039,0.104,0.768,127.949,4,"alt z,indie pop,irish pop"
33Erxwd8RV55M6ZX6KigNt,New Friends,Orla Gartland,179439,False,37,0.658,0.169,7,-11.249,1,0.0496,0.911,2.45e-06,0.0925,0.353,93.876,4,"alt z,indie pop,irish pop"
0bPB8TqrB1xBYzGEcpC7Q8,Did It To Myself,Orla Gartland,196939,True,52,0.751,0.429,5,-10.552,1,0.0609,0.0627,5.54e-05,0.0993,0.393,95.025,4,"alt z,indie pop,irish pop"
5VpgaWuqcWho0uJMniRNDs,Heavy,Orla Gartland,244946,False,53,0.645,0.19,5,-12.02,1,0.0382,0.785,0.000435,0.102,0.112,139.981,4,"alt z,indie pop,irish pop"
3pIEqgK9hHXpj35bd9cH2J,Overthinking (Demo),Orla Gartland,201106,False,35,0.818,0.435,3,-10.209,1,0.16,0.348,0.0,0.0893,0.604,137.919,4,"alt z,indie pop,irish pop"
55uHY7UWhCfEnsnL5Wx39Z,Flatline,Orla Gartland,201203,False,30,0.755,0.852,2,-5.666,1,0.0388,0.023,0.00176,0.0475,0.919,123.969,4,"alt z,indie pop,irish pop"
4c0WkzJbzDU750TXWarrk1,Why Am I Like This?,Orla Gartland,212713,False,31,0.63,0.423,2,-7.705,1,0.0318,0.507,2.24e-06,0.219,0.319,90.019,4,"alt z,indie pop,irish pop"
3DueRoQYcxVoOBnFCXfxOM,I Go Crazy,Orla Gartland,214574,False,0,0.786,0.593,6,-8.254,0,0.0538,0.0841,0.0,0.144,0.544,109.993,4,"alt z,indie pop,irish pop"
