"","id","genres","danceability","energy","speechiness","acousticness","instrumentalness","valence","tempo"
"123","0X9YmbFHb2sPmml6J7DMK0","indie rock,modern alternative rock,modern rock,rock",0.253,0.293,0.0338,0.308,0.124,0.117,0.61268063096741
"124","1KtNTjbeOA0AcDNm6x878Q","indie rock,modern alternative rock,modern rock,rock",0.27,0.61,0.0337,0.00181,0.342,0.109,0.336675287109782
"125","5ABJ1S6xsDuk2LSbH4zwDK","indie rock,modern alternative rock,modern rock,rock",0.579,0.674,0.0327,0.00164,0.148,0.21,0.390763460760642
"126","3K6OrQXyb3w9a6Ev0EtkCP","indie rock,modern alternative rock,modern rock,rock",0.535,0.701,0.0519,2.89e-05,0.462,0.241,0.402952603904938
"127","7l3XkFbTgakJZgMFC3wHiW","indie rock,modern alternative rock,modern rock,rock",0.516,0.455,0.0325,0.0537,0.00364,0.0429,0.438619176604689
"128","54Q0R1kVWjnCbpuNMyo6Lb","indie rock,modern alternative rock,modern rock,rock",0.324,0.359,0.0331,0.0153,0.000823,0.149,0.298998639522485
"129","08B2L7NNQrVhnnVpjkAvMI","indie rock,modern alternative rock,modern rock,rock",0.497,0.762,0.0277,0.0206,0.103,0.563,0.666971037762443
"130","2U4BtckcNxE6cn5wGmBLiS","indie rock,modern alternative rock,modern rock,rock",0.672,0.76,0.0339,0.00148,0.00522,0.515,0.402744242483668
"131","5qiLNGZIJwdCd2S9Y8U4LR","indie rock,modern alternative rock,modern rock,rock",0.629,0.838,0.0645,0.000876,0.146,0.536,0.562367476007795
"132","5z4mtQ6wjwo60iZhf5Vnj4","indie rock,modern alternative rock,modern rock,rock",0.448,0.327,0.0522,0.43,0.205,0.0874,0.396683376435549
"133","5YS1ozwyfnzZtIX5rtKa3r","indie rock,modern alternative rock,modern rock,rock",0.472,0.674,0.0424,0.00129,0.000398,0.219,0.553720477025089
"134","03DZjSbmLsQ0aAiqLwbQu2","indie rock,modern alternative rock,modern rock,rock",0.426,0.656,0.0317,0.0139,0.828,0.143,0.379524200566253
"135","6mgZxHEtNHG5jGh2zkvSvs","indie rock,modern alternative rock,modern rock,rock",0.542,0.482,0.0292,0.022,0.00774,0.0667,0.463910576180613
"136","4zUK40tfomNXQGE7ySTBXP","indie rock,modern alternative rock,modern rock,rock",0.583,0.921,0.0697,0.00377,0.462,0.222,0.488540121830149
"137","2W51Xkmg24VOT7ZThWj5Ll","indie rock,modern alternative rock,modern rock,rock",0.51,0.819,0.0456,0.000112,0.892,0.319,0.599370013114513
"138","7f62MruiQN3mxACnIU0yxO","indie rock,modern alternative rock,modern rock,rock",0.514,0.414,0.0297,0.38,0.00891,0.231,0.243617399404331
"139","6jOUbSEEJVdIn2j9UjrBvz","indie rock,modern alternative rock,modern rock,rock",0.503,0.812,0.0754,4.75e-05,0.0639,0.136,0.579986272659304
"140","37XsaGX7crh4YJKv6k946u","indie rock,modern alternative rock,modern rock,rock",0.47,0.806,0.0505,0.000575,0.0564,0.339,0.317352829425535
"141","2vvUQE2oDCKtOkS6LFgJck","indie rock,modern alternative rock,modern rock,rock",0.763,0.275,0.0312,0.501,0.282,0.389,0.31120616749807
"142","57z2fiemiFjOkPBHtgCtOA","indie rock,modern alternative rock,modern rock,rock",0.732,0.355,0.0341,0.86,0.0245,0.255,0.500631212540906
